Period,Dosage_per_1000,Impact_per_1000,Prescriptions_per_1000,Drugs_count,Total_cost_per_1000,Generic_cost_per_1000
201406,5416.619360391045,307317.69879151724,41.77705156438809,4249.24140212271,404.1662142907832,290.3626820829419
201407,5533.640496427634,313159.4255233559,44.45054344732539,4519.408396486378,446.0493310746715,322.4821969912696
201408,5350.773534073455,302918.696752913,41.128911031699964,4176.2677225048765,417.4637344524711,300.49248599390705
201409,27261.843146163945,308217.6953228781,43.48699114825566,4404.197201709803,430.6956412742305,311.70467897434605
201410,4964.222067352762,310431.9351149151,45.4145348184013,4613.275054076547,459.2680848797939,333.8118050269488
201411,5258.079989561615,308625.0528188333,41.13509316554742,4190.032735276866,410.6009179871706,298.85973245867484
201412,5133.7750779433145,305887.8857851252,46.31254244838388,4786.623948824296,471.7410787461706,341.22336788987445
201501,4701.939444692125,303176.4924458595,43.39436451782544,4441.196921529174,435.45488641391114,316.16870439106214
201502,4831.092002208259,301986.42332669836,40.283908174307165,4107.383067792243,405.03162784946164,292.5818131211587
201503,4856.482368156328,297797.35679808893,44.55658811826541,4547.598786327699,444.56311378205055,321.06940114389744
201504,5082.589306217993,298639.8673866714,43.50297336928173,4426.298839537956,441.2726444142466,317.5922315095301
201505,4492.131055282803,299352.37699271395,42.70676019321908,4338.831322743586,435.27364767623106,312.26214095128466
201506,5067.837626545541,305748.03026353125,44.766938735000885,4533.953850967967,450.957221232012,322.50377035523
201507,30186.479755914745,302423.5937984431,46.38383017931226,4692.212631191862,470.94879052259904,335.24679157352193
201508,5609.540242552557,295169.66173402825,41.93367733044361,4229.77556623648,428.1788666599663,303.0370680921088
201509,4648.610879921709,303560.9232684464,45.49725598437143,4593.592948882938,453.6762438282152,319.4858605554056
201510,5508.923789231345,305629.25702170876,46.1329795607239,4676.945851655589,454.198773763214,316.9618149087013
201511,4646.991591891173,303135.2231989385,43.88205057656389,4463.510156938561,426.0527595245236,296.33297615703407
201512,5560.908054740338,296002.576397353,48.099793831105046,4928.825180828733,477.6962906968516,329.02460540203487
201601,4599.854010854963,293069.8642748186,43.398843052288775,4419.716921847415,409.70505777055155,278.56183650402016
201602,4626.747594074311,296224.30520514306,43.45274353177123,4434.671538750152,404.61152024133065,277.7219353120809
201603,4845.109292077992,293876.1522854432,46.120334286945045,4718.971698981575,426.9356212778362,292.09994020014943
201604,4944.549751953498,298875.3978258887,46.60659775238339,4728.363730200509,433.3761735889837,293.784622957188
201605,5503.814864669313,292324.647983793,44.61422949124075,4529.23797174094,413.04285067043287,278.23712413877234
201606,5337.922782919176,296114.6796501342,46.6349266782241,4717.590290635635,424.47205902940203,280.82136515249783
201607,5411.889940367655,294991.39859185956,45.254642356619584,4578.091704895349,413.37185803805085,269.3930047293828
201608,4856.547783399476,291762.33703141805,45.85364195037262,4629.481219388668,415.9218920055314,266.20771031869384
201609,5146.323281072743,288584.4720977701,46.63276644395354,4692.740536246369,421.58023806450154,265.9681766932538
201610,4838.745288166138,289881.9094658688,44.79932468617901,4527.677123447502,400.26869380241556,248.90594812427636
201611,4929.213366717865,291752.12466023845,46.24348520324705,4686.370532268902,401.37063755836715,250.69690913856087
201612,5253.754869217994,282822.19749137055,47.21249955807403,4820.266348455378,418.3563065466592,256.5942375241521
201701,5494.406859311549,285465.00531685574,44.75239667015519,4544.071668213166,381.7815351920893,233.57778105267064
201702,5150.229982548078,284014.7116756027,41.845248228392755,4243.239147294765,356.83857354356763,215.32159065109644
201703,5751.346950794195,292870.73511541565,48.12599764843571,4866.547909983003,406.9078385575947,242.79700073074073
201704,4576.251410452334,277895.2667862935,42.574968339834854,4312.62300931558,363.9937209893074,213.13725501560398
201705,4986.124552081599,290293.90192728123,46.01260357950116,4652.091601168978,386.72047476539905,225.96654984365838
201706,4955.210931276349,292145.18137861777,46.514392631079104,4692.863985731637,391.9300987179663,226.0151159495226
201707,4962.629107124891,292353.44766150834,44.98578978577661,4540.974506969996,377.4444749980129,216.64493365613413
201708,4790.662206771414,287389.15121229645,45.89586311448982,4631.261392930649,379.85260932327225,213.19700217792177
201709,4504.385498105956,288664.5794096075,45.09455670315514,4545.320283621549,369.91712305128345,207.5758896007184
201710,4859.483163675605,289705.7750782645,45.784900837080244,4620.123734355186,375.40618805955773,212.48267575538685
201711,5005.207763987341,288238.12437437783,46.16817557274176,4656.501113512953,372.48178795178484,207.8539122782255
201712,5355.157843825696,282631.7369845578,45.381920549779984,4607.280983550801,374.5994550694905,206.74861541716345
201801,5277.389891822899,287903.83163181704,46.04679850734486,4659.196646810601,363.5070474306181,198.90597148290394
201802,5036.3925979869855,281655.3784284506,41.39425102649327,4173.549919475072,327.53707387908185,177.0330924531618
201803,4777.60605966679,281830.3390996341,45.40348776672506,4571.646198095696,361.7049847440843,194.91567472836076
201804,4213.538662770871,283461.5548976556,43.285299031482666,4350.53253902046,337.8892705712648,178.79709409500882
201805,4940.655675940946,283346.5839620679,45.70414671369796,4598.441269789921,362.78649847960503,193.6875444878715
201806,4752.076338057041,281032.72864369454,44.627226022624605,4470.857552764731,354.1782668173595,187.46049006161192
201807,4552.724793492027,280041.1026647349,44.51587736184955,4457.7261384605845,353.3925441252748,186.9323826827252
201808,4867.488620846361,276067.2790733118,45.82301228721934,4580.503369359543,373.28021457764885,199.6055679177736
201809,4384.127017338643,276104.58195919334,42.62207198466115,4261.603035385569,343.645439414405,184.42166357392895
201810,5069.923483577051,276153.79703278426,46.3616482615585,4650.8908270463935,368.82899390566376,195.85799561275516
201811,5030.247021892403,275826.2873516234,45.23960853112694,4533.336129343869,354.1776579122895,185.3315679477368
201812,4722.896274593445,274281.085413059,44.5624189945079,4489.0608283156635,354.9409505230907,186.13196934385212
201901,4731.74691876366,273462.3336275795,46.313561095438295,4648.804251495598,358.7428609745677,190.24527335033665
201902,4236.857042656387,273157.75216511585,41.581418641300814,4163.719027004491,322.86311777408946,170.40476853976799
201903,4768.234895524761,273558.0320315928,44.88002612092053,4481.24113151385,349.5901426156711,182.4751451435927
201904,4923.8557093599475,269255.17355513235,44.29569153217494,4422.363243954606,346.3760658055815,182.05686864136862
201905,5758.567454103344,271688.64903753897,46.75570660569257,4658.229810252926,365.37485851563116,190.61520012138166
201906,4494.871943728797,271643.8170686639,43.21318584518261,4296.592420117304,336.0176409648117,174.87120639371412
